time,x,theta
1.78,-0.0162796,-0.236305
1.79,-0.0179963,-0.231589
1.8,-0.0196423,-0.227315
1.81,-0.0212187,-0.223475
1.82,-0.0227262,-0.220061
1.83,-0.0241657,-0.217067
1.84,-0.0255379,-0.21449
1.85,-0.0268435,-0.212323
1.86,-0.0280828,-0.210563
1.87,-0.0292565,-0.209208
1.88,-0.0303647,-0.208254
1.89,-0.0314077,-0.2077
1.9,-0.0323858,-0.207544
1.91,-0.0332987,-0.207788
1.92,-0.0341466,-0.20843
1.93,-0.0349293,-0.209473
1.94,-0.0356465,-0.210918
1.95,-0.0362977,-0.212767
1.96,-0.0368826,-0.215025
1.97,-0.0374006,-0.217694
1.98,-0.0378511,-0.220781
1.99,-0.0382332,-0.224289
2,-0.0385461,-0.228226
2.01,-0.038789,-0.232599
2.02,-0.0389608,-0.237414
2.03,-0.0390603,-0.242681
2.04,-0.0390865,-0.248408
2.05,-0.0390381,-0.254605
2.06,-0.0389136,-0.261284
2.07,-0.0387119,-0.268454
2.08,-0.0384314,-0.276129
2.09,-0.0380707,-0.28432
2.1,-0.0376283,-0.293042
2.11,-0.0371027,-0.302309
2.12,-0.0364923,-0.312135
2.13,-0.0357956,-0.322536
2.14,-0.0350112,-0.333528
2.15,-0.0341376,-0.345129
2.16,-0.0331735,-0.357355
2.17,-0.0321175,-0.370225
2.18,-0.0309687,-0.383757
2.19,-0.0297259,-0.397971
2.2,-0.0283885,-0.412886
2.21,-0.0269558,-0.428522
2.22,-0.0254276,-0.4449
2.23,-0.023804,-0.462041
2.24,-0.0220852,-0.479965
2.25,-0.0202722,-0.498694
2.26,-0.0183662,-0.51825
2.27,-0.016369,-0.538653
2.28,-0.0142831,-0.559925
2.29,-0.0121115,-0.582088
2.3,-0.009858,-0.605162
2.31,-0.00752716,-0.629169
2.32,-0.00512439,-0.654129
2.33,-0.00265606,-0.680062
2.34,-0.000129509,-0.706989
2.35,0.00244688,-0.734928
2.36,0.00506357,-0.763899
2.37,0.00770988,-0.79392
2.38,0.0103738,-0.825009
2.39,0.0130422,-0.857183
2.4,0.0157005,-0.890459
2.41,0.0183326,-0.924855
2.42,0.0209212,-0.960387
2.43,0.0234474,-0.99707
2.44,0.025891,-1.03492
2.45,0.0282302,-1.07396
2.46,0.0304415,-1.1142
2.47,0.0325003,-1.15566
2.48,0.0343801,-1.19836
2.49,0.0360533,-1.24231
2.5,0.0374903,-1.28755
2.51,0.0386605,-1.33408
2.52,0.0395317,-1.38194
2.53,0.0400702,-1.43116
2.54,0.040241,-1.48175
2.55,0.0400078,-1.53375
2.56,0.0393331,-1.5872
2.57,0.0381782,-1.64214
2.58,0.0365036,-1.69859
2.59,0.0342688,-1.75662
2.6,0.0314329,-1.81625
2.61,0.0279547,-1.87755
2.62,0.0237933,-1.94056
2.63,0.0189087,-2.00533
2.64,0.0132624,-2.07192
2.65,0.00681859,-2.14038
2.66,-0.000454609,-2.21074
2.67,-0.00858349,-2.28306
2.68,-0.0175867,-2.35734
2.69,-0.0274726,-2.4336
2.7,-0.0382368,-2.51182
2.71,-0.0498581,-2.59194
2.72,-0.0622961,-2.67388
2.73,-0.0754873,-2.75748
2.74,-0.0893431,-2.84257
2.75,-0.103749,-2.92887
2.76,-0.118566,-3.01609
2.77,-0.133633,-3.10387
2.78,-0.148778,3.09137
2.79,-0.163819,3.00365
2.8,-0.178583,2.91655
2.81,-0.192907,2.83041
2.82,-0.206649,2.74556
2.83,-0.219692,2.66225
2.84,-0.231946,2.58066
2.85,-0.243346,2.50094
2.86,-0.253852,2.42318
2.87,-0.263443,2.34741
2.88,-0.272117,2.27366
2.89,-0.279883,2.20192
2.9,-0.286763,2.13214
2.91,-0.292784,2.0643
2.92,-0.297981,1.99834
2.93,-0.302392,1.93421
2.94,-0.306057,1.87185
2.95,-0.309019,1.8112
2.96,-0.311319,1.75223
2.97,-0.313,1.69487
2.98,-0.314105,1.63907
2.99,-0.314674,1.5848
3,-0.31475,1.53201
3.01,-0.31437,1.48066
3.02,-0.313575,1.43073
3.03,-0.312399,1.38217
3.04,-0.31088,1.33496
3.05,-0.309051,1.28907
3.06,-0.306945,1.24448
3.07,-0.304594,1.20117
3.08,-0.302026,1.15911
3.09,-0.299271,1.11828
3.1,-0.296354,1.07868
3.11,-0.293302,1.04027
3.12,-0.290138,1.00305
3.13,-0.286883,0.966997
3.14,-0.283559,0.932097
3.15,-0.280186,0.898332
3.16,-0.27678,0.865689
3.17,-0.273358,0.834152
3.18,-0.269935,0.803703
3.19,-0.266525,0.774327
3.2,-0.26314,0.746007
3.21,-0.259792,0.718726
3.22,-0.25649,0.692466
3.23,-0.253244,0.667209
3.24,-0.25006,0.642938
3.25,-0.246947,0.619633
3.26,-0.24391,0.597275
3.27,-0.240954,0.575845
3.28,-0.238083,0.555324
3.29,-0.235301,0.535692
3.3,-0.232611,0.516929
3.31,-0.230015,0.499017
3.32,-0.227515,0.481935
3.33,-0.225112,0.465664
