time,x,theta
8.91,-0.455248,2.96749
8.92,-0.469613,2.88221
8.93,-0.483492,2.79801
8.94,-0.496761,2.71517
8.95,-0.509316,2.63392
8.96,-0.521081,2.55441
8.97,-0.532003,2.47677
8.98,-0.54205,2.40107
8.99,-0.551211,2.32735
9,-0.559486,2.2556
9.01,-0.566889,2.18583
9.02,-0.573444,2.11799
9.03,-0.579178,2.05205
9.04,-0.584128,1.98795
9.05,-0.58833,1.92566
9.06,-0.591825,1.86511
9.07,-0.594653,1.80627
9.08,-0.596855,1.74907
9.09,-0.598473,1.69348
9.1,-0.599549,1.63944
9.11,-0.600121,1.58693
9.12,-0.60023,1.5359
9.13,-0.599914,1.48632
9.14,-0.599209,1.43815
9.15,-0.598152,1.39137
9.16,-0.596776,1.34596
9.17,-0.595115,1.30189
9.18,-0.5932,1.25913
9.19,-0.591062,1.21767
9.2,-0.588728,1.17749
9.21,-0.586227,1.13857
9.22,-0.583583,1.1009
9.23,-0.580822,1.06446
9.24,-0.577965,1.02924
9.25,-0.575035,0.99522
9.26,-0.57205,0.962393
9.27,-0.569031,0.930743
9.28,-0.565994,0.900258
9.29,-0.562954,0.870923
9.3,-0.559927,0.842726
9.31,-0.556925,0.815653
9.32,-0.553962,0.78969
9.33,-0.551047,0.764824
9.34,-0.548191,0.741041
9.35,-0.545403,0.718326
9.36,-0.542691,0.696664
9.37,-0.540061,0.676042
9.38,-0.53752,0.656445
9.39,-0.535074,0.637858
9.4,-0.532726,0.620266
9.41,-0.530482,0.603656
9.42,-0.528344,0.588012
9.43,-0.526315,0.573322
9.44,-0.524399,0.559571
9.45,-0.522597,0.546745
9.46,-0.52091,0.534834
9.47,-0.519341,0.523823
9.48,-0.51789,0.513702
9.49,-0.516558,0.50446
9.5,-0.515346,0.496087
9.51,-0.514254,0.488573
9.52,-0.513283,0.481909
9.53,-0.512434,0.476089
9.54,-0.511705,0.471104
9.55,-0.511098,0.46695
9.56,-0.510612,0.46362
9.57,-0.510248,0.461112
9.58,-0.510006,0.459422
9.59,-0.509885,0.458549
9.6,-0.509886,0.45849
9.61,-0.510009,0.459246
9.62,-0.510254,0.460819
9.63,-0.510621,0.46321
9.64,-0.511109,0.466422
9.65,-0.51172,0.470459
9.66,-0.512453,0.475327
9.67,-0.513308,0.481031
9.68,-0.514285,0.487578
9.69,-0.515385,0.494976
9.7,-0.516605,0.503234
9.71,-0.517948,0.512361
9.72,-0.519411,0.522368
9.73,-0.520995,0.533265
9.74,-0.522698,0.545065
9.75,-0.524519,0.557779
9.76,-0.526457,0.571421
9.77,-0.528511,0.586004
9.78,-0.530677,0.601542
9.79,-0.532954,0.618049
9.8,-0.535338,0.63554
9.81,-0.537826,0.65403
9.82,-0.540413,0.673533
9.83,-0.543095,0.694065
9.84,-0.545866,0.715641
9.85,-0.548718,0.738275
9.86,-0.551646,0.761982
9.87,-0.55464,0.786778
9.88,-0.557691,0.812676
9.89,-0.560789,0.839691
9.9,-0.563923,0.867837
9.91,-0.567079,0.897127
9.92,-0.570243,0.927575
9.93,-0.573401,0.959195
9.94,-0.576536,0.992
9.95,-0.579631,1.026
9.96,-0.582665,1.06122
9.97,-0.585618,1.09766
9.98,-0.588468,1.13534
9.99,-0.591192,1.17427
10,-0.593765,1.21448
10.01,-0.59616,1.25597
10.02,-0.598349,1.29876
10.03,-0.600304,1.34288
10.04,-0.601994,1.38833
10.05,-0.603385,1.43516
10.06,-0.604447,1.48338
10.07,-0.605142,1.53301
10.08,-0.605437,1.58409
10.09,-0.605294,1.63666
10.1,-0.604674,1.69074
10.11,-0.60354,1.74637
10.12,-0.601851,1.80359
10.13,-0.599568,1.86245
10.14,-0.596651,1.923
10.15,-0.593062,1.98528
10.16,-0.588762,2.04933
10.17,-0.583715,2.1152
10.18,-0.577888,2.18294
10.19,-0.571254,2.25258
10.2,-0.563789,2.32414
10.21,-0.555481,2.39764
10.22,-0.546326,2.47308
10.23,-0.536336,2.55041
10.24,-0.525537,2.62957
10.25,-0.513977,2.71044
10.26,-0.501726,2.79287
10.27,-0.488877,2.87665
10.28,-0.475548,2.96151
10.29,-0.461878,3.04713
10.3,-0.448025,3.13317
10.31,-0.434155,-3.06395
10.32,-0.420438,-2.97821
10.33,-0.407036,-2.89319
10.34,-0.394097,-2.8092
10.35,-0.38175,-2.72653
10.36,-0.370099,-2.64541
10.37,-0.359222,-2.56601
10.38,-0.349175,-2.48845
10.39,-0.339991,-2.41282
10.4,-0.331687,-2.33915
10.41,-0.324262,-2.26746
10.42,-0.317703,-2.19773
10.43,-0.311991,-2.12993
10.44,-0.307095,-2.06404
10.45,-0.302983,-1.99999
10.46,-0.299618,-1.93775
10.47,-0.296961,-1.87726
10.48,-0.29497,-1.81848
10.49,-0.293606,-1.76136
10.5,-0.292826,-1.70584
10.51,-0.292591,-1.6519
10.52,-0.292859,-1.59948
10.53,-0.293593,-1.54855
10.54,-0.294753,-1.49908
10.55,-0.296303,-1.45104
10.56,-0.298207,-1.40439
10.57,-0.300431,-1.35912
10.58,-0.302942,-1.31519
10.59,-0.305708,-1.27259
10.6,-0.308699,-1.2313
10.61,-0.311886,-1.1913
10.62,-0.315243,-1.15257
10.63,-0.318743,-1.1151
10.64,-0.322362,-1.07887
10.65,-0.326077,-1.04386
10.66,-0.329866,-1.01008
10.67,-0.33371,-0.977497
10.68,-0.33759,-0.946104
10.69,-0.341488,-0.915889
10.7,-0.345389,-0.886838
10.71,-0.349278,-0.85894
10.72,-0.35314,-0.832181
10.73,-0.356965,-0.806549
10.74,-0.36074,-0.782031
10.75,-0.364456,-0.758612
10.76,-0.368102,-0.736281
10.77,-0.371673,-0.715023
10.78,-0.375159,-0.694825
10.79,-0.378555,-0.675673
10.8,-0.381854,-0.657555
10.81,-0.385053,-0.640455
10.82,-0.388147,-0.624361
10.83,-0.391131,-0.609261
10.84,-0.394003,-0.59514
10.85,-0.39676,-0.581987
10.86,-0.3994,-0.56979
10.87,-0.401921,-0.558537
10.88,-0.404321,-0.548218
10.89,-0.406599,-0.538821
10.9,-0.408754,-0.530339
10.91,-0.410785,-0.522761
10.92,-0.412691,-0.51608
10.93,-0.414472,-0.510288
10.94,-0.416127,-0.50538
10.95,-0.417656,-0.50135
10.96,-0.419059,-0.498193
10.97,-0.420335,-0.495906
10.98,-0.421485,-0.494486
10.99,-0.422507,-0.493932
11,-0.423403,-0.494244
11.01,-0.424171,-0.495421
11.02,-0.424813,-0.497466
11.03,-0.425327,-0.50038
11.04,-0.425715,-0.504167
11.05,-0.425975,-0.508832
11.06,-0.426109,-0.51438
11.07,-0.426117,-0.520816
11.08,-0.425998,-0.528149
11.09,-0.425753,-0.536387
11.1,-0.425384,-0.545538
11.11,-0.42489,-0.555611
11.12,-0.424273,-0.566618
11.13,-0.423534,-0.578569
11.14,-0.422675,-0.591476
11.15,-0.421697,-0.60535
11.16,-0.420603,-0.620206
11.17,-0.419396,-0.636055
11.18,-0.418079,-0.652911
11.19,-0.416655,-0.670787
11.2,-0.41513,-0.689699
11.21,-0.413507,-0.709658
11.22,-0.411793,-0.73068
11.23,-0.409995,-0.752778
11.24,-0.40812,-0.775967
11.25,-0.406177,-0.80026
11.26,-0.404174,-0.82567
11.27,-0.402123,-0.852211
11.28,-0.400034,-0.879897
11.29,-0.397921,-0.90874
11.3,-0.395797,-0.938754
11.31,-0.393678,-0.969951
11.32,-0.39158,-1.00234
11.33,-0.389521,-1.03594
11.34,-0.38752,-1.07077
11.35,-0.385598,-1.10683
11.36,-0.383777,-1.14413
11.37,-0.382079,-1.1827
11.38,-0.380531,-1.22255
11.39,-0.379157,-1.26368
11.4,-0.377987,-1.30614
11.41,-0.377048,-1.34991
11.42,-0.376372,-1.39504
11.43,-0.37599,-1.44154
11.44,-0.375935,-1.48944
11.45,-0.376243,-1.53876
11.46,-0.376947,-1.58953
11.47,-0.378086,-1.64178
11.48,-0.379697,-1.69556
11.49,-0.381818,-1.75088
11.5,-0.384489,-1.80781
11.51,-0.387749,-1.86637
11.52,-0.391637,-1.92661
11.53,-0.396192,-1.98858
11.54,-0.401453,-2.05233
11.55,-0.407454,-2.11789
11.56,-0.414228,-2.18531
11.57,-0.421804,-2.25463
11.58,-0.430202,-2.32587
11.59,-0.439437,-2.39904
11.6,-0.449511,-2.47414
11.61,-0.460415,-2.55112
11.62,-0.472119,-2.62992
11.63,-0.484579,-2.71042
11.64,-0.497725,-2.79248
11.65,-0.511465,-2.87588
11.66,-0.525682,-2.96035
11.67,-0.54024,-3.04559
11.68,-0.554983,-3.13125
11.69,-0.569746,3.06623
11.7,-0.584362,2.98085
11.71,-0.59867,2.89617
11.72,-0.612522,2.81251
11.73,-0.625792,2.73015
11.74,-0.638376,2.64932
11.75,-0.650194,2.5702
11.76,-0.661192,2.49291
11.77,-0.671334,2.41753
11.78,-0.680605,2.3441
11.79,-0.689004,2.27265
11.8,-0.696542,2.20315
11.81,-0.703241,2.13558
11.82,-0.709128,2.0699
11.83,-0.714236,2.00608
11.84,-0.718602,1.94406
11.85,-0.722264,1.88379
11.86,-0.725263,1.82524
11.87,-0.727639,1.76834
11.88,-0.729433,1.71305
11.89,-0.730686,1.65934
11.9,-0.731437,1.60716
11.91,-0.731725,1.55647
11.92,-0.731589,1.50725
11.93,-0.731065,1.45946
11.94,-0.730189,1.41307
11.95,-0.728995,1.36806
11.96,-0.727516,1.32441
11.97,-0.725782,1.28209
11.98,-0.723825,1.24108
11.99,-0.721673,1.20138
12,-0.719353,1.16295
12.01,-0.716891,1.12579
12.02,-0.71431,1.08988
12.03,-0.711635,1.05521
12.04,-0.708886,1.02177
12.05,-0.706084,0.989542
12.06,-0.703247,0.958513
12.07,-0.700393,0.928674
12.08,-0.697537,0.900012
12.09,-0.694695,0.872515
12.1,-0.691879,0.846171
12.11,-0.689104,0.820968
12.12,-0.686379,0.796894
12.13,-0.683714,0.773936
12.14,-0.68112,0.752082
12.15,-0.678605,0.731319
12.16,-0.676175,0.711635
12.17,-0.673838,0.693017
12.18,-0.671599,0.675452
12.19,-0.669463,0.658928
12.2,-0.667434,0.643432
12.21,-0.665518,0.628953
12.22,-0.663716,0.61548
12.23,-0.662032,0.603
12.24,-0.660468,0.591503
12.25,-0.659027,0.580979
12.26,-0.657709,0.571418
12.27,-0.656517,0.562812
12.28,-0.655452,0.555151
12.29,-0.654515,0.548429
12.3,-0.653706,0.542638
12.31,-0.653026,0.537774
12.32,-0.652476,0.53383
12.33,-0.652057,0.530803
12.34,-0.651768,0.528691
12.35,-0.65161,0.527489
12.36,-0.651583,0.527199
12.37,-0.651687,0.527818
12.38,-0.651922,0.529349
12.39,-0.652288,0.531793
12.4,-0.652786,0.535152
12.41,-0.653414,0.53943
12.42,-0.654172,0.544632
12.43,-0.655061,0.550764
12.44,-0.65608,0.557831
12.45,-0.657227,0.565841
12.46,-0.658502,0.574803
12.47,-0.659905,0.584724
12.48,-0.661433,0.595615
12.49,-0.663085,0.607485
12.5,-0.664859,0.620345
12.51,-0.666753,0.634208
12.52,-0.668765,0.649083
12.53,-0.67089,0.664985
12.54,-0.673125,0.681924
12.55,-0.675466,0.699913
12.56,-0.677908,0.718967
12.57,-0.680445,0.739097
12.58,-0.68307,0.760316
12.59,-0.685778,0.782639
12.6,-0.688558,0.806076
12.61,-0.691403,0.830642
12.62,-0.694301,0.85635
12.63,-0.697243,0.883211
12.64,-0.700214,0.911238
12.65,-0.703203,0.940443
12.66,-0.706194,0.970839
12.67,-0.709171,1.00244
12.68,-0.712116,1.03525
12.69,-0.715012,1.06929
12.7,-0.717837,1.10457
12.71,-0.720572,1.14111
12.72,-0.723192,1.17891
12.73,-0.725673,1.21799
12.74,-0.72799,1.25836
12.75,-0.730116,1.30005
12.76,-0.732021,1.34307
12.77,-0.733678,1.38744
12.78,-0.735053,1.43317
12.79,-0.736115,1.4803
12.8,-0.736829,1.52885
12.81,-0.737161,1.57885
12.82,-0.737075,1.63032
12.83,-0.736532,1.6833
12.84,-0.735496,1.73782
12.85,-0.733928,1.79393
12.86,-0.731788,1.85167
12.87,-0.729037,1.91107
12.88,-0.725636,1.97218
12.89,-0.721548,2.03506
12.9,-0.716737,2.09973
12.91,-0.711168,2.16625
12.92,-0.704814,2.23464
12.93,-0.697649,2.30495
12.94,-0.689658,2.37717
12.95,-0.680834,2.45132
12.96,-0.671184,2.52736
12.97,-0.660728,2.60524
12.98,-0.649507,2.68485
12.99,-0.63758,2.76607
13,-0.625032,2.84869
13.01,-0.611971,2.93247
13.02,-0.598524,3.01712
13.03,-0.584841,3.10231
13.04,-0.571081,-3.09552
13.05,-0.557412,-3.01036
13.06,-0.543994,-2.92577
13.07,-0.530978,-2.84208
13.08,-0.518499,-2.7596
13.09,-0.506666,-2.67857
13.1,-0.495567,-2.59917
13.11,-0.485265,-2.52156
13.12,-0.475801,-2.44583
13.13,-0.467197,-2.37203
13.14,-0.459459,-2.30019
13.15,-0.452579,-2.23031
13.16,-0.44654,-2.16236
13.17,-0.441317,-2.09631
13.18,-0.436879,-2.03213
13.19,-0.43319,-1.96976
13.2,-0.430214,-1.90917
13.21,-0.42791,-1.8503
13.22,-0.426238,-1.7931
13.23,-0.425158,-1.73754
13.24,-0.424629,-1.68357
13.25,-0.424612,-1.63114
13.26,-0.425067,-1.58022
13.27,-0.425957,-1.53079
13.28,-0.427244,-1.48279
13.29,-0.428892,-1.43622
13.3,-0.430868,-1.39104
13.31,-0.433137,-1.34723
13.32,-0.435669,-1.30476
13.33,-0.438433,-1.26363
13.34,-0.441399,-1.2238
13.35,-0.444541,-1.18527
13.36,-0.447831,-1.14802
13.37,-0.451246,-1.11204
13.38,-0.454762,-1.0773
13.39,-0.458358,-1.04381
13.4,-0.462012,-1.01154
13.41,-0.465705,-0.98049
13.42,-0.469421,-0.950644
13.43,-0.473141,-0.92199
13.44,-0.476852,-0.894518
13.45,-0.480539,-0.868216
13.46,-0.484189,-0.843073
13.47,-0.48779,-0.819077
13.48,-0.491332,-0.796216
13.49,-0.494806,-0.77448
13.5,-0.498202,-0.753855
13.51,-0.501513,-0.734331
13.52,-0.504732,-0.715895
13.53,-0.507852,-0.698536
13.54,-0.510869,-0.682243
13.55,-0.513778,-0.667004
13.56,-0.516574,-0.652807
13.57,-0.519253,-0.639644
13.58,-0.521813,-0.627502
13.59,-0.524251,-0.616373
13.6,-0.526565,-0.606246
13.61,-0.528752,-0.597114
13.62,-0.530811,-0.588968
13.63,-0.53274,-0.581801
13.64,-0.534539,-0.575607
13.65,-0.536206,-0.570379
13.66,-0.537741,-0.566113
13.67,-0.539142,-0.562805
13.68,-0.54041,-0.560451
13.69,-0.541544,-0.55905
13.7,-0.542544,-0.5586
13.71,-0.543409,-0.5591
13.72,-0.54414,-0.560553
13.73,-0.544736,-0.562958
13.74,-0.545199,-0.566318
13.75,-0.545527,-0.570638
13.76,-0.545723,-0.575921
13.77,-0.545785,-0.582172
13.78,-0.545715,-0.589398
13.79,-0.545514,-0.597606
13.8,-0.545183,-0.606802
13.81,-0.544724,-0.616996
13.82,-0.544138,-0.628197
13.83,-0.543427,-0.640414
13.84,-0.542593,-0.653657
13.85,-0.541641,-0.667937
13.86,-0.540572,-0.683265
13.87,-0.539391,-0.699653
13.88,-0.538102,-0.717112
13.89,-0.536711,-0.735654
13.9,-0.535222,-0.755292
13.91,-0.533643,-0.776037
13.92,-0.531982,-0.797901
13.93,-0.530246,-0.820897
13.94,-0.528444,-0.845036
13.95,-0.526587,-0.870332
13.96,-0.524686,-0.896794
13.97,-0.522754,-0.924436
13.98,-0.520804,-0.953269
13.99,-0.518851,-0.983304
14,-0.516911,-1.01455
14.01,-0.515001,-1.04703
14.02,-0.51314,-1.08074
14.03,-0.511349,-1.1157
14.04,-0.509648,-1.15192
14.05,-0.50806,-1.18942
14.06,-0.50661,-1.22821
14.07,-0.505323,-1.2683
14.08,-0.504226,-1.30971
14.09,-0.503348,-1.35246
14.1,-0.502718,-1.39657
14.11,-0.502367,-1.44205
14.12,-0.502329,-1.48893
14.13,-0.502636,-1.53723
14.14,-0.503324,-1.58699
14.15,-0.504429,-1.63822
14.16,-0.505987,-1.69097
14.17,-0.508036,-1.74527
14.18,-0.510615,-1.80116
14.19,-0.513763,-1.85868
14.2,-0.517519,-1.91786
14.21,-0.52192,-1.97876
14.22,-0.527006,-2.04141
14.23,-0.53281,-2.10587
14.24,-0.539367,-2.17217
14.25,-0.546705,-2.24034
14.26,-0.554846,-2.31042
14.27,-0.563808,-2.38241
14.28,-0.573595,-2.45631
14.29,-0.584201,-2.5321
14.3,-0.595605,-2.60971
14.31,-0.607765,-2.68904
14.32,-0.620621,-2.76995
14.33,-0.634089,-2.85226
14.34,-0.648062,-2.93571
14.35,-0.662412,-3.02001
14.36,-0.676992,-3.10484
14.37,-0.691642,3.09336
14.38,-0.706199,3.00859
14.39,-0.720503,2.92438
14.4,-0.734405,2.84109
14.41,-0.747774,2.75899
14.42,-0.7605,2.67833
14.43,-0.772497,2.59932
14.44,-0.783705,2.52207
14.45,-0.794081,2.4467
14.46,-0.803604,2.37325
14.47,-0.812269,2.30175
14.48,-0.820084,2.23219
14.49,-0.827064,2.16457
14.5,-0.833235,2.09884
14.51,-0.838629,2.03497
14.52,-0.843279,1.97292
14.53,-0.847223,1.91264
14.54,-0.8505,1.85408
14.55,-0.853151,1.79719
14.56,-0.855215,1.74194
14.57,-0.856732,1.68827
14.58,-0.857743,1.63616
14.59,-0.858285,1.58556
14.6,-0.858397,1.53644
14.61,-0.858115,1.48877
14.62,-0.857476,1.44252
14.63,-0.856512,1.39767
14.64,-0.855258,1.3542
14.65,-0.853745,1.31208
14.66,-0.852003,1.27129
14.67,-0.85006,1.23182
14.68,-0.847945,1.19365
14.69,-0.845683,1.15677
14.7,-0.843299,1.12117
14.71,-0.840816,1.08682
14.72,-0.838256,1.05372
14.73,-0.835639,1.02186
14.74,-0.832984,0.991226
14.75,-0.830309,0.961805
14.76,-0.827631,0.933589
14.77,-0.824965,0.906566
14.78,-0.822324,0.880725
14.79,-0.819721,0.856056
14.8,-0.817169,0.832548
14.81,-0.814677,0.810189
14.82,-0.812256,0.788969
14.83,-0.809915,0.768877
14.84,-0.80766,0.749902
14.85,-0.805499,0.732034
14.86,-0.803438,0.71526
14.87,-0.801484,0.699571
14.88,-0.799639,0.684957
14.89,-0.79791,0.671407
14.9,-0.796299,0.658912
14.91,-0.79481,0.647462
14.92,-0.793446,0.637049
14.93,-0.792209,0.627664
14.94,-0.791101,0.6193
14.95,-0.790123,0.611951
14.96,-0.789278,0.605608
14.97,-0.788567,0.600269
14.98,-0.78799,0.595927
14.99,-0.787548,0.592579
15,-0.787243,0.590222
15.01,-0.787073,0.588854
15.02,-0.787041,0.588473
15.03,-0.787145,0.589081
15.04,-0.787387,0.590676
15.05,-0.787765,0.593262
15.06,-0.788279,0.59684
15.07,-0.78893,0.601414
15.08,-0.789716,0.606988
15.09,-0.790637,0.613568
15.1,-0.791692,0.621158
15.11,-0.792879,0.629767
15.12,-0.794196,0.6394
15.13,-0.795643,0.650067
15.14,-0.797216,0.661776
15.15,-0.798914,0.674536
15.16,-0.800733,0.688357
15.17,-0.802669,0.703249
15.18,-0.804719,0.719223
15.19,-0.806878,0.736289
15.2,-0.809141,0.754458
15.21,-0.811501,0.773742
15.22,-0.813952,0.794152
15.23,-0.816487,0.815699
15.24,-0.819096,0.838395
15.25,-0.821771,0.86225
15.26,-0.8245,0.887276
15.27,-0.827274,0.913485
15.28,-0.830078,0.940886
15.29,-0.832899,0.969492
15.3,-0.835722,0.999313
15.31,-0.838531,1.03036
15.32,-0.841309,1.06264
15.33,-0.844036,1.09618
15.34,-0.846692,1.13097
15.35,-0.849256,1.16704
15.36,-0.851705,1.20439
15.37,-0.854015,1.24304
15.38,-0.856159,1.283
15.39,-0.85811,1.3243
15.4,-0.859841,1.36694
15.41,-0.861321,1.41094
15.42,-0.86252,1.45633
15.43,-0.863404,1.50313
15.44,-0.86394,1.55136
15.45,-0.864093,1.60105
15.46,-0.863827,1.65223
15.47,-0.863106,1.70493
15.48,-0.861891,1.75919
15.49,-0.860144,1.81504
15.5,-0.857827,1.87253
15.51,-0.854901,1.9317
15.52,-0.851328,1.99258
15.53,-0.847071,2.05523
15.54,-0.842095,2.11968
15.55,-0.836368,2.18598
15.56,-0.829862,2.25415
15.57,-0.822556,2.32422
15.58,-0.814435,2.3962
15.59,-0.805497,2.47008
15.6,-0.795748,2.54582
15.61,-0.785215,2.62337
15.62,-0.77394,2.70261
15.63,-0.761986,2.7834
15.64,-0.749441,2.86553
15.65,-0.736414,2.94876
15.66,-0.723034,3.03279
15.67,-0.70945,3.11729
15.68,-0.695819,-3.08129
15.69,-0.682303,-2.99695
15.7,-0.66906,-2.91323
15.71,-0.656235,-2.83044
15.72,-0.643954,-2.74889
15.73,-0.632323,-2.6688
15.74,-0.621423,-2.59036
15.75,-0.611313,-2.51369
15.76,-0.60203,-2.4389
15.77,-0.593594,-2.36602
15.78,-0.586008,-2.29509
15.79,-0.579265,-2.2261
15.8,-0.573346,-2.15902
15.81,-0.568226,-2.09384
15.82,-0.563873,-2.0305
15.83,-0.560252,-1.96897
15.84,-0.557328,-1.90921
15.85,-0.555059,-1.85115
15.86,-0.553407,-1.79477
15.87,-0.552333,-1.74001
15.88,-0.551795,-1.68684
15.89,-0.551755,-1.63522
15.9,-0.552175,-1.58511
15.91,-0.553016,-1.53648
15.92,-0.554243,-1.48931
15.93,-0.555821,-1.44355
15.94,-0.557715,-1.3992
15.95,-0.559893,-1.35622
15.96,-0.562324,-1.3146
15.97,-0.564977,-1.27432
15.98,-0.567825,-1.23536
15.99,-0.570839,-1.19771
16,-0.573996,-1.16135
16.01,-0.577269,-1.12627
16.02,-0.580637,-1.09245
16.03,-0.584077,-1.0599
16.04,-0.58757,-1.02859
16.05,-0.591097,-0.99851
16.06,-0.594641,-0.969657
16.07,-0.598184,-0.942018
16.08,-0.601712,-0.915582
16.09,-0.605212,-0.890339
16.1,-0.60867,-0.866278
16.11,-0.612075,-0.843391
16.12,-0.615416,-0.821666
16.13,-0.618684,-0.801094
16.14,-0.621871,-0.781663
16.15,-0.624967,-0.763365
16.16,-0.627968,-0.746188
16.17,-0.630865,-0.730124
16.18,-0.633654,-0.715162
16.19,-0.636331,-0.701293
16.2,-0.63889,-0.688507
16.21,-0.641327,-0.676797
16.22,-0.643641,-0.666154
16.23,-0.645827,-0.65657
16.24,-0.647884,-0.648039
16.25,-0.649809,-0.640553
16.26,-0.651601,-0.634106
16.27,-0.653258,-0.628695
16.28,-0.654779,-0.624314
16.29,-0.656163,-0.62096
16.3,-0.65741,-0.61863
16.31,-0.658518,-0.617322
16.32,-0.659487,-0.617036
16.33,-0.660317,-0.617771
16.34,-0.661009,-0.619528
16.35,-0.661562,-0.622308
16.36,-0.661977,-0.626115
16.37,-0.662254,-0.630952
16.38,-0.662395,-0.636822
16.39,-0.662399,-0.643731
16.4,-0.66227,-0.651685
16.41,-0.662007,-0.660689
16.42,-0.661613,-0.670752
16.43,-0.661091,-0.68188
16.44,-0.660443,-0.694083
16.45,-0.659672,-0.707368
16.46,-0.658781,-0.721746
16.47,-0.657776,-0.737225
16.48,-0.65666,-0.753816
16.49,-0.655439,-0.77153
16.5,-0.65412,-0.790375
16.51,-0.652708,-0.810363
16.52,-0.651213,-0.831504
16.53,-0.649641,-0.853809
16.54,-0.648004,-0.877289
16.55,-0.646311,-0.901953
16.56,-0.644574,-0.927813
16.57,-0.642805,-0.954878
16.58,-0.64102,-0.98316
16.59,-0.639232,-1.01267
16.6,-0.637457,-1.04341
16.61,-0.635715,-1.07541
16.62,-0.634022,-1.10866
16.63,-0.6324,-1.14318
16.64,-0.630871,-1.17898
16.65,-0.629456,-1.21608
16.66,-0.628181,-1.25449
16.67,-0.627071,-1.29421
16.68,-0.626153,-1.33528
16.69,-0.625456,-1.37769
16.7,-0.625009,-1.42148
16.71,-0.624844,-1.46666
16.72,-0.624992,-1.51326
16.73,-0.625488,-1.56129
16.74,-0.626366,-1.6108
16.75,-0.627663,-1.66179
16.76,-0.629414,-1.71432
16.77,-0.631657,-1.7684
16.78,-0.634431,-1.82409
16.79,-0.637773,-1.88141
16.8,-0.641723,-1.94041
16.81,-0.646317,-2.00114
16.82,-0.651592,-2.06362
16.83,-0.657583,-2.12791
16.84,-0.664321,-2.19405
16.85,-0.671833,-2.26205
16.86,-0.68014,-2.33195
16.87,-0.689255,-2.40375
16.88,-0.699182,-2.47745
16.89,-0.709909,-2.55299
16.9,-0.721412,-2.63032
16.91,-0.733646,-2.70933
16.92,-0.746547,-2.78986
16.93,-0.760027,-2.87171
16.94,-0.773977,-2.95463
16.95,-0.788267,-3.03833
16.96,-0.80275,-3.12247
16.97,-0.817269,3.07649
16.98,-0.831665,2.99255
16.99,-0.845783,2.90924
17,-0.859479,2.82689
17.01,-0.87263,2.74576
17.02,-0.885133,2.66611
17.03,-0.896908,2.58809
17.04,-0.907898,2.51185
17.05,-0.918067,2.43748
17.06,-0.927396,2.36501
17.07,-0.935882,2.29448
17.08,-0.943534,2.22588
17.09,-0.950369,2.1592
17.1,-0.956413,2.09439
17.11,-0.961698,2.03143
17.12,-0.966258,1.97028
17.13,-0.970129,1.91087
17.14,-0.973351,1.85319
17.15,-0.975962,1.79717
17.16,-0.978003,1.74277
17.17,-0.979513,1.68996
17.18,-0.980531,1.6387
17.19,-0.981094,1.58896
17.2,-0.981241,1.5407
17.21,-0.981007,1.49389
17.22,-0.980428,1.44851
17.23,-0.979536,1.40453
17.24,-0.978364,1.36193
17.25,-0.976944,1.3207
17.26,-0.975304,1.28081
17.27,-0.973474,1.24225
17.28,-0.97148,1.205
17.29,-0.969347,1.16905
17.3,-0.9671,1.13439
17.31,-0.964761,1.101
17.32,-0.962352,1.06888
17.33,-0.959893,1.03802
17.34,-0.957402,1.00839
17.35,-0.954898,0.980001
17.36,-0.952395,0.952835
17.37,-0.949909,0.926883
17.38,-0.947454,0.902135
17.39,-0.945042,0.878582
17.4,-0.942686,0.856215
17.41,-0.940395,0.835023
17.42,-0.938178,0.814998
17.43,-0.936046,0.796129
17.44,-0.934004,0.778408
17.45,-0.932061,0.761826
17.46,-0.930223,0.746372
17.47,-0.928494,0.732039
17.48,-0.926881,0.718817
17.49,-0.925387,0.7067
17.5,-0.924016,0.695677
17.51,-0.922771,0.685744
17.52,-0.921655,0.676892
17.53,-0.920671,0.669116
17.54,-0.91982,0.662409
17.55,-0.919105,0.656768
17.56,-0.918526,0.652188
17.57,-0.918086,0.648665
17.58,-0.917784,0.646197
17.59,-0.917622,0.644783
17.6,-0.9176,0.64442
17.61,-0.917718,0.64511
17.62,-0.917976,0.646852
17.63,-0.918374,0.649649
17.64,-0.918912,0.653503
17.65,-0.919588,0.658416
17.66,-0.920402,0.664393
17.67,-0.921353,0.671439
17.68,-0.922438,0.679558
17.69,-0.923657,0.688758
17.7,-0.925006,0.699045
17.71,-0.926484,0.710425
17.72,-0.928087,0.722908
17.73,-0.929812,0.736501
17.74,-0.931654,0.751213
17.75,-0.933609,0.767052
17.76,-0.935671,0.784029
17.77,-0.937834,0.802153
17.78,-0.940093,0.821434
17.79,-0.942438,0.84188
17.8,-0.944862,0.863503
17.81,-0.947355,0.886312
17.82,-0.949907,0.910316
17.83,-0.952507,0.935526
17.84,-0.955141,0.961952
17.85,-0.957797,0.989603
17.86,-0.960459,1.01849
17.87,-0.963112,1.04862
17.88,-0.965738,1.08001
17.89,-0.968318,1.11266
17.9,-0.970833,1.14659
17.91,-0.973262,1.18181
17.92,-0.975582,1.21832
17.93,-0.977768,1.25615
17.94,-0.979796,1.29531
17.95,-0.981639,1.3358
17.96,-0.983269,1.37765
17.97,-0.984656,1.42088
